region,port,route_type,cost_rub_t
Самарская область,Усть-Луга,Ж/Д + речной терминал + речное судно,3884
Самарская область,Усть-Луга,Ж/Д напрямую до морского порта,4968
Самарская область,Усть-Луга,Авто + речной терминал + речное судно,3413
Самарская область,Усть-Луга,Авто напрямую до морского порта,6440
Самарская область,Кавказ,Ж/Д + речной терминал + речное судно,3527
Самарская область,Кавказ,Ж/Д напрямую до морского порта,4203
Самарская область,Кавказ,Авто + речной терминал + речное судно,3057
Самарская область,Кавказ,Авто напрямую до морского порта,5924
Самарская область,Астрахань,Ж/Д + речной терминал + речное судно,3191
Самарская область,Астрахань,Ж/Д напрямую до морского порта,3289
Самарская область,Астрахань,Авто + речной терминал + речное судно,2720
Самарская область,Астрахань,Авто напрямую до морского порта,4676
Тульская область,Усть-Луга,Ж/Д + речной терминал + речное судно,3993
Тульская область,Усть-Луга,Ж/Д напрямую до морского порта,4041
Тульская область,Усть-Луга,Авто + речной терминал + речное судно,3262
Тульская область,Усть-Луга,Авто напрямую до морского порта,4477
Тульская область,Кавказ,Ж/Д + речной терминал + речное судно,5344
Тульская область,Кавказ,Ж/Д напрямую до морского порта,4041
Тульская область,Кавказ,Авто + речной терминал + речное судно,4613
Тульская область,Кавказ,Авто напрямую до морского порта,5443
Тульская область,Астрахань,Ж/Д + речной терминал + речное судно,5061
Тульская область,Астрахань,Ж/Д напрямую до морского порта,3894
Тульская область,Астрахань,Авто + речной терминал + речное судно,4613
Тульская область,Астрахань,Авто напрямую до морского порта,5388
Волгоградская область,Усть-Луга,Ж/Д + речной терминал + речное судно,4387
Волгоградская область,Усть-Луга,Ж/Д напрямую до морского порта,4849
Волгоградская область,Усть-Луга,Авто + речной терминал + речное судно,3916
Волгоградская область,Усть-Луга,Авто напрямую до морского порта,6248
Волгоградская область,Кавказ,Ж/Д + речной терминал + речное судно,2941
Волгоградская область,Кавказ,Ж/Д напрямую до морского порта,2898
Волгоградская область,Кавказ,Авто + речной терминал + речное судно,2471
Волгоградская область,Кавказ,Авто напрямую до морского порта,3867
Волгоградская область,Астрахань,Ж/Д + речной терминал + речное судно,2540
Волгоградская область,Астрахань,Ж/Д напрямую до морского порта,2196
Волгоградская область,Астрахань,Авто + речной терминал + речное судно,2069
Волгоградская область,Астрахань,Авто напрямую до морского порта,2376
Нижегородская область,Усть-Луга,Ж/Д + речной терминал + речное судно,3650
Нижегородская область,Усть-Луга,Ж/Д напрямую до морского порта,4300
Нижегородская область,Усть-Луга,Авто + речной терминал + речное судно,3380
Нижегородская область,Усть-Луга,Авто напрямую до морского порта,5200
Нижегородская область,Кавказ,Ж/Д + речной терминал + речное судно,3900
Нижегородская область,Кавказ,Ж/Д напрямую до морского порта,4550
Нижегородская область,Кавказ,Авто + речной терминал + речное судно,3620
Нижегородская область,Кавказ,Авто напрямую до морского порта,5900
Нижегородская область,Астрахань,Ж/Д + речной терминал + речное судно,3250
Нижегородская область,Астрахань,Ж/Д напрямую до морского порта,3800
Нижегородская область,Астрахань,Авто + речной терминал + речное судно,2980
Нижегородская область,Астрахань,Авто напрямую до морского порта,4700
Республика Татарстан,Усть-Луга,Ж/Д + речной терминал + речное судно,3820
Республика Татарстан,Усть-Луга,Ж/Д напрямую до морского порта,4650
Республика Татарстан,Усть-Луга,Авто + речной терминал + речное судно,3510
Республика Татарстан,Усть-Луга,Авто напрямую до морского порта,5800
Республика Татарстан,Кавказ,Ж/Д + речной терминал + речное судно,3410
Республика Татарстан,Кавказ,Ж/Д напрямую до морского порта,4100
Республика Татарстан,Кавказ,Авто + речной терминал + речное судно,3140
Республика Татарстан,Кавказ,Авто напрямую до морского порта,5400
Республика Татарстан,Астрахань,Ж/Д + речной терминал + речное судно,2980
Республика Татарстан,Астрахань,Ж/Д напрямую до морского порта,3500
Республика Татарстан,Астрахань,Авто + речной терминал + речное судно,2760
Республика Татарстан,Астрахань,Авто напрямую до морского порта,4300
Ульяновская область,Усть-Луга,Ж/Д + речной терминал + речное судно,3720
Ульяновская область,Усть-Луга,Ж/Д напрямую до морского порта,4480
Ульяновская область,Усть-Луга,Авто + речной терминал + речное судно,3390
Ульяновская область,Усть-Луга,Авто напрямую до морского порта,5500
Ульяновская область,Кавказ,Ж/Д + речной терминал + речное судно,3280
Ульяновская область,Кавказ,Ж/Д напрямую до морского порта,3920
Ульяновская область,Кавказ,Авто + речной терминал + речное судно,3020
Ульяновская область,Кавказ,Авто напрямую до морского порта,5050
Ульяновская область,Астрахань,Ж/Д + речной терминал + речное судно,2860
Ульяновская область,Астрахань,Ж/Д напрямую до морского порта,3300
Ульяновская область,Астрахань,Авто + речной терминал + речное судно,2630
Ульяновская область,Астрахань,Авто напрямую до морского порта,4100
Саратовская область,Усть-Луга,Ж/Д + речной терминал + речное судно,4050
Саратовская область,Усть-Луга,Ж/Д напрямую до морского порта,4900
Саратовская область,Усть-Луга,Авто + речной терминал + речное судно,3710
Саратовская область,Усть-Луга,Авто напрямую до морского порта,6100
Саратовская область,Кавказ,Ж/Д + речной терминал + речное судно,3120
Саратовская область,Кавказ,Ж/Д напрямую до морского порта,3500
Саратовская область,Кавказ,Авто + речной терминал + речное судно,2860
Саратовская область,Кавказ,Авто напрямую до морского порта,4300
Саратовская область,Астрахань,Ж/Д + речной терминал + речное судно,2740
Саратовская область,Астрахань,Ж/Д напрямую до морского порта,3100
Саратовская область,Астрахань,Авто + речной терминал + речное судно,2520
Саратовская область,Астрахань,Авто напрямую до морского порта,3600
Ростовская область,Усть-Луга,Ж/Д + речной терминал + речное судно,4600
Ростовская область,Усть-Луга,Ж/Д напрямую до морского порта,5400
Ростовская область,Усть-Луга,Авто + речной терминал + речное судно,4200
