terminal,region,capacity_thousand_tons
Дмитров,Московская область,750
Кинешма,Ивановская область,500
Нижний Новгород / Бор,Нижегородская область,750
Набережные Челны,Республика Татарстан,750
Казань,Республика Татарстан,500
Свияжск,Республика Татарстан,750
Ульяновск,Ульяновская область,750
Самарский ККЗ,Самарская область,750
Тольятти Жито,Самарская область,750
Тольятти речной порт,Самарская область,500
Октябрьская хлебная база,Самарская область,500
Волжский терминал Балаково,Саратовская область,750
Балаковский припортовый элеватор,Саратовская область,500
Саратовский КХП,Саратовская область,500
Волгоградский элеватор,Волгоградская область,750
Камышинская зерновая компания,Волгоградская область,750
Татьянка,Волгоградская область,500
Калач комбикормовый завод,Волгоградская область,750
Калач речной порт,Волгоградская область,500
Волгодонской элеватор,Ростовская область,500
Азов Промэкспедиция,Ростовская область,750
Азовский зерновой терминал,Ростовская область,750
Азовский портовый элеватор,Ростовская область,750
Южный морской порт,Ростовская область,500
