terminal,lat,lon
Дмитров,56.344,37.520
Кинешма,57.443,42.168
Нижний Новгород / Бор,56.356,44.076
Набережные Челны,55.743,52.395
Казань,55.796,49.108
Свияжск,55.772,48.658
Ульяновск,54.318,48.397
Самарский ККЗ,53.195,50.100
Тольятти Жито,53.508,49.419
Тольятти речной порт,53.508,49.419
Октябрьская хлебная база,53.164,48.670
Волжский терминал Балаково,52.027,47.800
Балаковский припортовый элеватор,52.027,47.800
Саратовский КХП,51.533,46.034
Волгоградский элеватор,48.708,44.514
Камышинская зерновая компания,50.083,45.407
Татьянка,48.646,44.430
Калач комбикормовый завод,48.690,43.526
Калач речной порт,48.690,43.526
Волгодонской элеватор,47.513,42.151
Азов Промэкспедиция,47.112,39.423
Азовский зерновой терминал,47.112,39.423
Азовский портовый элеватор,47.112,39.423
Южный морской порт,47.112,39.423
